,Review,Positive,Negative,Neutral
196,dont buy phone bad camera qualiti,0.363,0.0,0.637
197,worst ever,0.0,0.804,0.196
198,good,1.0,0.0,0.0
199,dont buy dont want money wast  camera gimmick give worst photo pathet camera qualiti didnt expect realm,0.057,0.202,0.74
200,work smooth expect,0.0,0.0,1.0
201,nice,1.0,0.0,0.0
202,nice camera,0.737,0.0,0.263
203,bad qualiti,0.0,0.778,0.222
204,nice product  bad,0.384,0.479,0.137
205,bad thing  camera qualiti normal  selfi  micro  sound system good good  batteri back awesom  extra featur  finger print sensor face lock sensor  screen resolut goodoveral overal phone good except camera qualiti,0.222,0.089,0.689
206,averag phoneprosth phone build qualiti goodth display averag bright outdoorsbewar realm os differ  come realm ui r stock android version realm ui think chipset power os phone perform bettercamera decent outdoor without enough light struggl like hellcons× think game devic advic would go poco   reload,0.114,0.0,0.886
207, mani option miss  game mode game space like stuff  stock file manag  googl file instal   stock galleri  googl photo instal stock option replac googl appne game spacenavig bar remain black play bgmiaverag camera qualitydont buy like get pictur selfiesbatteri good enough batterycharg full  least buy gamingno game space  notif annoy play ,0.208,0.074,0.719
208,super compani phone galleri see photo googl photo screenshot set also nice phone sensit give  star rate sound qualiti best geometr design look class torch also power,0.312,0.0,0.688
209,your buy click nice photo video swift avoid camera fine phone fast process superfast fingerprint censor cool weight distribut like typic light weight phone realm brand weird thing couldnt find file manag galleri applic weir,0.248,0.153,0.599
210,love phone cant believ give phone price realli dont understand bad reviewsand camera bad ok normal use game phone dont buy look normal user phone perfect rang awesom guy go thank flipkart ,0.413,0.0,0.587
211,mobil touch smooth  batteri backup best  front camera good beat phone money                                      thank filpkart ,0.466,0.0,0.534
212, finger screen shot option   system app lock option  doubl tap screen lock screen wake  time network speed tracker option  data usag icon  realm system theme app  system default galleri app avail googl photo  realm file manag app avail googl file manag  camera qualiti poor like vga  low end,0.047,0.099,0.854
213,realm mobil batteri good camera best rest mobil awesom mobil thank,0.545,0.0,0.455
214,price rang realm  good daili usesrear camera good sunlightu click quit good imagesit batteri backup superdisplay good enough price rangeim disappoint selfi camerathey use basic camerathi phone selfi loversspeak sound badabout overal performanceyeah okay,0.305,0.061,0.633
215,bad thing  camera qualiti normal  selfi  micro  sound system good good  batteri back awesom  extra featur  finger print sensor face lock sensor  screen resolut goodoveral overal phone good except camera qualiti,0.222,0.089,0.689
216,averag phoneprosth phone build qualiti goodth display averag bright outdoorsbewar realm os differ  come realm ui r stock android version realm ui think chipset power os phone perform bettercamera decent outdoor without enough light struggl like hellcons× think game devic advic would go poco   reload,0.114,0.0,0.886
217, mani option miss  game mode game space like stuff  stock file manag  googl file instal   stock galleri  googl photo instal stock option replac googl appne game spacenavig bar remain black play bgmiaverag camera qualitydont buy like get pictur selfiesbatteri good enough batterycharg full  least buy gamingno game space  notif annoy play ,0.208,0.074,0.719
218,super compani phone galleri see photo googl photo screenshot set also nice phone sensit give  star rate sound qualiti best geometr design look class torch also power,0.312,0.0,0.688
219,your buy click nice photo video swift avoid camera fine phone fast process superfast fingerprint censor cool weight distribut like typic light weight phone realm brand weird thing couldnt find file manag galleri applic weir,0.248,0.153,0.599
220,love phone cant believ give phone price realli dont understand bad reviewsand camera bad ok normal use game phone dont buy look normal user phone perfect rang awesom guy go thank flipkart ,0.413,0.0,0.587
221,mobil touch smooth  batteri backup best  front camera good beat phone money                                      thank filpkart ,0.466,0.0,0.534
222, finger screen shot option   system app lock option  doubl tap screen lock screen wake  time network speed tracker option  data usag icon  realm system theme app  system default galleri app avail googl photo  realm file manag app avail googl file manag  camera qualiti poor like vga  low end,0.047,0.099,0.854
223,realm mobil batteri good camera best rest mobil awesom mobil thank,0.545,0.0,0.455
224,price rang realm  good daili usesrear camera good sunlightu click quit good imagesit batteri backup superdisplay good enough price rangeim disappoint selfi camerathey use basic camerathi phone selfi loversspeak sound badabout overal performanceyeah okay,0.305,0.061,0.633
225,nice display ,0.737,0.0,0.263
226,valu money,0.0,0.0,1.0
227,valu moneythank flipcart,0.0,0.0,1.0
228,awesomehigh recommend,0.714,0.0,0.286
229,product good batteri charg take time batteri last poor dont west money,0.181,0.194,0.625
230,nice good work,0.851,0.0,0.149
231,good phone,0.744,0.0,0.256
232,good,1.0,0.0,0.0
233,product nyc,0.0,0.0,1.0
234,good product,0.744,0.0,0.256
235,batteri goodcamera qualiti goodperform good slow work satisfi perform dont like phone perform abl,0.17,0.124,0.705
236,happi purchas product display camera qualiti good  recommend buy product,0.403,0.0,0.597
237,good,1.0,0.0,0.0
238,nice product,0.737,0.0,0.263
239,camera  qualiti poornow day budget expect least case,0.0,0.0,1.0
240,nice product,0.737,0.0,0.263
241,screen awesom speaker  bad yr     satisfi  set ad speaker,0.0,0.304,0.696
242,nice,1.0,0.0,0.0
243,review use  day camera   fast  fhd  panel build qualiti weak,0.0,0.244,0.756
244,pleas dont buy phonethi total wast moneyi excit see phone  mp phone camera camera badin phone softwar differ realm phonein phone one app photo videosin phone set differ realm phonein phone app lock hide app settingsand option return that could even return phonepleas dont ,0.0,0.038,0.962
245,batteri goodcamera qualiti goodperform good slow work satisfi perform dont like phone perform abl,0.17,0.124,0.705
246,happi purchas product display camera qualiti good  recommend buy product,0.403,0.0,0.597
247,good,1.0,0.0,0.0
248,nice product,0.737,0.0,0.263
249,camera  qualiti poornow day budget expect least case,0.0,0.0,1.0
250,nice product,0.737,0.0,0.263
251,screen awesom speaker  bad yr     satisfi  set ad speaker,0.0,0.304,0.696
252,nice,1.0,0.0,0.0
253,review use  day camera   fast  fhd  panel build qualiti weak,0.0,0.244,0.756
254,pleas dont buy phonethi total wast moneyi excit see phone  mp phone camera camera badin phone softwar differ realm phonein phone one app photo videosin phone set differ realm phonein phone app lock hide app settingsand option return that could even return phonepleas dont ,0.0,0.038,0.962
255,batteri goodcamera qualiti goodperform good slow work satisfi perform dont like phone perform abl,0.17,0.124,0.705
256,happi purchas product display camera qualiti good  recommend buy product,0.403,0.0,0.597
257,good,1.0,0.0,0.0
258,nice product,0.737,0.0,0.263
259,camera  qualiti poornow day budget expect least case,0.0,0.0,1.0
260,nice product,0.737,0.0,0.263
261,screen awesom speaker  bad yr     satisfi  set ad speaker,0.0,0.304,0.696
262,nice,1.0,0.0,0.0
263,review use  day camera   fast  fhd  panel build qualiti weak,0.0,0.244,0.756
